chr	start	end	CpG	WJ01.N	WJ01.X	WJ02.N	WJ02.X	WJ03.N	WJ03.X	WJ04.N	WJ04.X	WJ05.N	WJ05.X	feature	distance	gene	transcript
chr10	3996551	3996863	10	208	87	188	73	239	88	256	91	262	99	Intron (NM_001170786/Mthfd1l, intron 7 of 27)	23477	Mthfd1l	NM_001170785
chr10	4032952	4033058	3	23	21	21	21	21	21	NA	NA	NA	NA	Intron (NM_001170786/Mthfd1l, intron 14 of 27)	59878	Mthfd1l	NM_001170785
chr10	4037030	4037219	4	47	10	49	4	67	6	60	9	57	7	Intron (NM_001170786/Mthfd1l, intron 16 of 27)	63956	Mthfd1l	NM_001170785
chr10	4041389	4041640	7	135	128	140	128	136	130	166	154	168	161	Intron (NM_001170786/Mthfd1l, intron 16 of 27)	68315	Mthfd1l	NM_001170785
chr10	4041725	4041893	8	87	30	97	35	101	35	102	50	116	45	Exon (NM_001170786/Mthfd1l, exon 17 of 28)	68651	Mthfd1l	NM_001170785
chr10	4061130	4061493	7	102	101	107	103	115	113	138	136	140	138	Intron (NM_001170786/Mthfd1l, intron 20 of 27)	88056	Mthfd1l	NM_001170785
chr10	4065624	4066017	12	281	272	273	263	315	304	301	292	328	315	Intron (NM_001170786/Mthfd1l, intron 20 of 27)	92550	Mthfd1l	NM_001170785
chr10	4071202	4071385	4	80	76	93	90	90	87	95	94	126	125	Intron (NM_001170786/Mthfd1l, intron 20 of 27)	98128	Mthfd1l	NM_001170785
chr10	4079739	4080100	10	59	53	92	86	89	83	77	72	89	82	Intron (NM_001170786/Mthfd1l, intron 20 of 27)	106665	Mthfd1l	NM_001170785
chr10	4100000	4100151	5	35	24	28	20	38	28	48	32	49	36	Intron (NM_001170786/Mthfd1l, intron 24 of 27)	126926	Mthfd1l	NM_001170785
chr10	4106184	4106405	4	69	34	69	32	65	32	58	29	74	33	Exon (NM_001170786/Mthfd1l, exon 26 of 28)	133110	Mthfd1l	NM_001170785
chr10	4106453	4106694	7	116	88	117	87	137	106	119	100	130	99	Exon (NM_001170786/Mthfd1l, exon 26 of 28)	133379	Mthfd1l	NM_001170785
chr10	4108343	4108360	3	37	2	58	7	66	12	84	6	54	4	Intron (NM_001170786/Mthfd1l, intron 26 of 27)	135269	Mthfd1l	NM_001170785
chr10	4108545	4108710	6	73	52	71	41	82	66	94	73	83	60	Intron (NM_001170786/Mthfd1l, intron 26 of 27)	135471	Mthfd1l	NM_001170785
chr10	4111118	4111535	15	151	4	165	4	175	3	179	3	182	5	Intron (NM_001170786/Mthfd1l, intron 26 of 27)	138044	Mthfd1l	NM_001170785
chr10	4126440	4126821	7	86	66	82	69	87	72	115	99	115	99	Intron (NM_001170786/Mthfd1l, intron 26 of 27)	-139508	Akap12	NM_031185
chr10	4142952	4143293	11	175	169	190	185	241	236	209	208	231	229	Intron (NM_001170786/Mthfd1l, intron 26 of 27)	-123036	Akap12	NM_031185
chr10	4145320	4145481	7	64	40	66	35	61	39	71	43	78	43	Intron (NM_001170786/Mthfd1l, intron 26 of 27)	-120848	Akap12	NM_031185
chr10	4145634	4145852	6	46	26	59	39	73	49	63	33	79	49	Intron (NM_001170786/Mthfd1l, intron 26 of 27)	-120477	Akap12	NM_031185
chr10	4145975	4146068	5	32	23	22	17	41	23	33	22	51	34	Intron (NM_001170786/Mthfd1l, intron 26 of 27)	-120261	Akap12	NM_031185
chr10	4151433	4151540	3	56	53	62	59	60	57	71	67	73	68	Intron (NM_001170786/Mthfd1l, intron 27 of 27)	-114789	Akap12	NM_031185
chr10	4210433	4210809	16	196	150	130	94	170	135	210	160	259	199	Distal Intergenic	-55520	Akap12	NM_031185
chr10	4244162	4244270	3	NA	NA	21	20	20	19	22	22	NA	NA	Distal Intergenic	-22059	Akap12	NM_031185
chr10	4249037	4249199	5	137	117	144	119	145	117	151	125	147	121	Distal Intergenic	-17130	Akap12	NM_031185
chr10	4249305	4249433	3	29	27	24	23	29	27	28	26	41	39	Distal Intergenic	-16896	Akap12	NM_031185
chr10	4254593	4254710	4	84	83	86	85	93	88	95	89	108	106	Distal Intergenic	-11619	Akap12	NM_031185
chr10	4265378	4265446	3	37	37	36	34	60	58	57	56	40	39	Promoter (<=1kb)	-883	Akap12	NM_031185
chr10	4265555	4265992	20	213	172	179	132	247	194	248	188	251	187	Promoter (<=1kb)	-337	Akap12	NM_031185
chr10	4266079	4266440	12	133	2	166	2	190	3	142	3	166	3	Promoter (<=1kb)	0	Akap12	NM_031185
chr10	4266452	4266896	39	261	6	250	14	273	8	271	7	263	9	Promoter (<=1kb)	124	Akap12	NM_031185
chr10	4267679	4267839	7	97	55	85	44	113	65	126	71	103	68	Promoter (1-2kb)	1351	Akap12	NM_031185
chr10	4290107	4290139	3	67	66	45	45	69	68	67	66	80	75	Intron (NM_031185/Akap12, intron 1 of 3)	23779	Akap12	NM_031185
chr10	4290658	4290694	5	42	40	60	58	69	66	73	64	67	63	Intron (NM_031185/Akap12, intron 1 of 3)	24330	Akap12	NM_031185
chr10	4303715	4303730	3	NA	NA	20	17	26	24	20	19	26	23	Intron (NM_031185/Akap12, intron 1 of 3)	37387	Akap12	NM_031185
chr10	4304096	4304301	5	58	45	50	41	53	36	64	52	62	54	Intron (NM_031185/Akap12, intron 1 of 3)	37768	Akap12	NM_031185
chr10	4304615	4304661	4	59	58	81	78	86	85	83	81	77	74	Intron (NM_031185/Akap12, intron 1 of 3)	38287	Akap12	NM_031185
chr10	4304794	4304878	6	85	83	125	121	136	129	143	137	147	140	Intron (NM_031185/Akap12, intron 1 of 3)	38466	Akap12	NM_031185
chr10	4332499	4332703	6	95	91	79	74	112	98	88	76	109	99	Intron (NM_031185/Akap12, intron 2 of 3)	55405	Zbtb2	NM_001033466
chr10	4333069	4333131	3	54	52	65	60	86	82	82	78	51	49	Intron (NM_031185/Akap12, intron 2 of 3)	54977	Zbtb2	NM_001033466
chr10	4333434	4333790	10	188	58	157	60	212	79	230	77	220	83	Intron (NM_031185/Akap12, intron 2 of 3)	54318	Zbtb2	NM_001033466
chr10	4333935	4334295	12	376	62	419	68	403	67	399	73	457	77	Intron (NM_031185/Akap12, intron 2 of 3)	53813	Zbtb2	NM_001033466
chr10	4334316	4334667	17	146	5	185	7	175	3	143	6	208	1	Intron (NM_031185/Akap12, intron 2 of 3)	53441	Zbtb2	NM_001033466
chr10	4335388	4335656	10	213	160	248	178	245	181	285	222	268	212	Intron (NM_031185/Akap12, intron 2 of 3)	52452	Zbtb2	NM_001033466
chr10	4335744	4335935	3	30	6	24	15	32	6	23	12	44	18	Intron (NM_031185/Akap12, intron 2 of 3)	52173	Zbtb2	NM_001033466
chr10	4336233	4336312	3	41	21	42	20	44	21	34	17	53	24	Intron (NM_031185/Akap12, intron 2 of 3)	51796	Zbtb2	NM_001033466
chr10	4338873	4338954	5	57	28	48	27	51	23	53	33	63	30	Intron (NM_031185/Akap12, intron 2 of 3)	49154	Zbtb2	NM_001033466
chr10	4339060	4339334	10	188	31	236	33	233	18	243	28	245	37	Intron (NM_031185/Akap12, intron 2 of 3)	48774	Zbtb2	NM_001033466
chr10	4346780	4347109	25	151	15	97	13	149	22	106	11	154	17	Intron (NM_031185/Akap12, intron 2 of 3)	40999	Zbtb2	NM_001033466
chr10	4347674	4347963	14	221	197	278	250	252	233	344	315	298	271	Intron (NM_031185/Akap12, intron 2 of 3)	40145	Zbtb2	NM_001033466
chr10	4354490	4354975	24	242	233	352	333	249	238	304	284	319	294	Exon (NM_031185/Akap12, exon 3 of 4)	33133	Zbtb2	NM_001033466
chr10	4356311	4356779	14	235	215	190	175	236	220	227	219	246	237	Exon (NM_031185/Akap12, exon 3 of 4)	31329	Zbtb2	NM_001033466
chr10	4357022	4357322	9	230	229	216	213	252	241	231	230	250	248	Exon (NM_031185/Akap12, exon 3 of 4)	30786	Zbtb2	NM_001033466
chr10	4358514	4358635	4	27	20	56	47	61	48	64	47	49	35	3' UTR	29473	Zbtb2	NM_001033466
chr10	4368519	4368927	16	105	102	94	92	123	117	113	113	154	148	Exon (NM_001033466/Zbtb2, exon 3 of 3)	19181	Zbtb2	NM_001033466
chr10	4368943	4369340	26	212	208	200	197	245	240	292	286	288	283	Exon (NM_001033466/Zbtb2, exon 3 of 3)	18768	Zbtb2	NM_001033466
chr10	4369715	4369954	8	132	124	135	126	176	170	177	164	173	166	Exon (NM_001033466/Zbtb2, exon 3 of 3)	18154	Zbtb2	NM_001033466
chr10	4370165	4370300	9	25	25	NA	NA	40	39	48	42	38	37	Intron (NM_001033466/Zbtb2, intron 2 of 2)	17808	Zbtb2	NM_001033466
chr10	4371252	4371414	5	52	51	54	53	70	69	90	88	66	64	Intron (NM_001033466/Zbtb2, intron 2 of 2)	16694	Zbtb2	NM_001033466
chr10	4371988	4372192	4	60	21	51	26	62	22	65	17	82	27	Intron (NM_001033466/Zbtb2, intron 2 of 2)	15916	Zbtb2	NM_001033466
chr10	4372305	4372417	4	38	26	37	31	41	29	52	37	39	21	Intron (NM_001033466/Zbtb2, intron 2 of 2)	15691	Zbtb2	NM_001033466
chr10	4373655	4373706	4	45	45	64	63	54	52	60	57	66	66	Intron (NM_001033466/Zbtb2, intron 2 of 2)	14402	Zbtb2	NM_001033466
chr10	4374816	4374930	4	77	73	98	90	102	98	93	84	102	96	Intron (NM_001033466/Zbtb2, intron 1 of 2)	13178	Zbtb2	NM_001033466
chr10	4375507	4375558	4	NA	NA	NA	NA	24	23	NA	NA	26	26	Intron (NM_001033466/Zbtb2, intron 1 of 2)	12550	Zbtb2	NM_001033466
chr10	4385212	4385382	4	22	18	32	25	37	33	39	33	53	46	Promoter (2-3kb)	2726	Zbtb2	NM_001033466
chr10	4386206	4386512	14	240	4	225	9	313	11	278	7	291	8	Promoter (1-2kb)	1596	Zbtb2	NM_001033466
chr10	4386617	4386726	8	51	2	49	2	44	1	52	0	42	0	Promoter (1-2kb)	1382	Zbtb2	NM_001033466
chr10	4387088	4387444	50	141	2	109	2	204	6	121	2	145	2	Promoter (<=1kb)	664	Zbtb2	NM_001033466
chr10	4388011	4388142	11	NA	NA	NA	NA	27	1	32	2	28	0	Promoter (<=1kb)	0	Zbtb2	NM_001033466
chr10	4388317	4388736	25	496	27	542	29	543	27	591	24	663	43	Promoter (<=1kb)	-210	Zbtb2	NM_001033466
chr10	4388953	4389355	12	350	88	375	102	399	108	414	107	431	112	Promoter (<=1kb)	-846	Zbtb2	NM_001033466
chr10	4392007	4392174	5	52	34	64	42	66	40	72	47	80	42	Distal Intergenic	-3900	Zbtb2	NM_001033466
chr10	4394078	4394451	6	NA	NA	22	21	30	30	31	29	30	27	Distal Intergenic	-5971	Zbtb2	NM_001033466
chr10	4406129	4406201	3	57	55	54	53	67	66	68	67	67	64	Intron (NM_025343/Rmnd1, intron 11 of 12)	-18022	Zbtb2	NM_001033466
chr10	4406396	4406842	14	105	83	75	63	89	73	151	122	113	83	Intron (NM_025343/Rmnd1, intron 11 of 12)	-18289	Zbtb2	NM_001033466
chr10	4425386	4425605	6	48	32	45	36	80	64	74	60	47	35	Intron (NM_025343/Rmnd1, intron 3 of 12)	3561	Gm5512	NR_002891
chr10	4431938	4432211	10	88	1	72	2	110	3	108	2	113	2	Promoter (<=1kb)	141	Rmnd1	NM_025343
chr10	4432240	4432508	35	123	0	112	3	162	2	105	2	133	1	Promoter (<=1kb)	0	Rmnd1	NM_025343
chr10	4432617	4432826	18	NA	NA	23	0	21	2	43	1	57	1	Promoter (<=1kb)	13	Armt1	NM_024261
chr10	4432907	4433130	10	95	8	110	3	105	2	111	4	141	5	Promoter (<=1kb)	303	Armt1	NM_024261
chr10	4433377	4433469	3	29	0	38	0	42	1	55	3	51	1	Promoter (<=1kb)	773	Armt1	NM_024261
chr10	4482217	4482663	14	63	50	73	59	105	81	84	69	72	56	Distal Intergenic	-27209	Ccdc170	NM_001195672
chr10	4482807	4482867	3	25	16	22	13	35	22	22	9	34	27	Distal Intergenic	-27005	Ccdc170	NM_001195672
chr10	4484762	4484850	3	35	32	25	23	45	45	32	32	48	48	Distal Intergenic	-25022	Ccdc170	NM_001195672
chr10	4485341	4485360	3	58	28	48	20	49	25	56	28	68	46	Distal Intergenic	-24512	Ccdc170	NM_001195672
chr10	4493070	4493186	4	62	24	57	19	80	32	86	27	67	22	Distal Intergenic	-16686	Ccdc170	NM_001195672
chr10	4530917	4531002	6	69	40	67	32	99	51	80	49	113	65	Intron (NM_001195672/Ccdc170, intron 5 of 10)	21046	Ccdc170	NM_001195672
chr10	4552473	4552563	8	NA	NA	NA	NA	NA	NA	39	31	30	23	Intron (NM_001195672/Ccdc170, intron 9 of 10)	42602	Ccdc170	NM_001195672
chr10	4586901	4586967	3	34	17	41	20	44	21	49	27	35	22	Distal Intergenic	-25022	Esr1	NR_126357
chr10	4589728	4589908	4	97	70	79	51	121	82	117	79	130	89	Distal Intergenic	-22081	Esr1	NR_126357
chr10	4590375	4590404	4	140	132	137	133	135	133	102	99	144	138	Distal Intergenic	-21585	Esr1	NR_126357
chr10	4590995	4591090	5	156	130	158	132	179	154	159	129	172	147	Distal Intergenic	-20899	Esr1	NR_126357
chr10	4591212	4591304	3	55	45	46	34	70	50	57	44	64	48	Distal Intergenic	-20685	Esr1	NR_126357
chr10	4593755	4593978	6	40	13	31	15	60	28	53	23	64	23	Distal Intergenic	-18011	Esr1	NR_126357
chr10	4598459	4598520	3	57	19	68	31	73	35	87	48	66	29	Distal Intergenic	-13469	Esr1	NR_126357
chr10	4604323	4604534	4	39	29	56	48	44	37	61	46	70	56	Distal Intergenic	-7455	Esr1	NR_126357
chr10	4605829	4606046	5	89	81	95	89	114	107	144	124	96	92	Distal Intergenic	-5943	Esr1	NR_126357
chr10	4611238	4611346	3	34	18	31	19	33	18	50	29	47	28	Promoter (<=1kb)	-643	Esr1	NR_126357
chr10	4611594	4611861	7	168	25	158	18	179	14	170	24	171	21	Promoter (<=1kb)	-128	Esr1	NR_126357
chr10	4611927	4612137	5	89	25	102	25	140	33	139	43	146	46	Promoter (<=1kb)	0	Esr1	NR_126357
chr10	4612282	4612582	14	266	16	243	17	328	25	393	17	354	30	Promoter (<=1kb)	294	Esr1	NM_007956
chr10	4612615	4612927	9	271	39	237	41	318	60	290	36	285	45	Promoter (<=1kb)	627	Esr1	NM_007956
chr10	4614220	4614358	5	47	45	46	44	58	56	47	46	70	68	Promoter (2-3kb)	2232	Esr1	NM_007956
chr10	4620503	4620755	7	137	131	147	144	152	144	162	156	158	150	Intron (NR_126357/Esr1, intron 1 of 7)	8515	Esr1	NM_007956
chr10	4620915	4621250	15	242	76	263	81	301	95	271	69	312	105	Intron (NR_126357/Esr1, intron 1 of 7)	8927	Esr1	NM_007956
chr10	4624418	4624602	4	78	44	101	51	106	54	116	71	111	72	Intron (NR_126357/Esr1, intron 1 of 7)	12430	Esr1	NM_007956
chr10	4625434	4625756	9	89	73	112	94	141	122	92	70	144	118	Intron (NR_126357/Esr1, intron 1 of 7)	13446	Esr1	NM_007956
chr10	4626493	4626704	7	54	49	108	92	103	88	131	107	141	128	Intron (NR_126357/Esr1, intron 1 of 7)	14505	Esr1	NM_007956
chr10	4631797	4632059	7	114	102	151	139	171	157	171	157	156	140	Intron (NR_126357/Esr1, intron 1 of 7)	19809	Esr1	NM_007956
chr10	4632090	4632366	9	128	121	175	168	155	148	134	129	200	194	Intron (NR_126357/Esr1, intron 1 of 7)	20102	Esr1	NM_007956
chr10	4632504	4632717	7	125	119	116	113	133	121	143	137	162	152	Intron (NR_126357/Esr1, intron 1 of 7)	20516	Esr1	NM_007956
chr10	4633223	4633250	3	55	54	47	44	57	54	89	80	58	54	Intron (NR_126357/Esr1, intron 1 of 7)	21235	Esr1	NM_007956
chr10	4633368	4633414	3	86	86	76	74	94	91	95	94	105	101	Intron (NR_126357/Esr1, intron 1 of 7)	21380	Esr1	NM_007956
chr10	4633540	4633736	7	72	62	84	79	91	75	109	98	93	83	Intron (NR_126357/Esr1, intron 1 of 7)	21552	Esr1	NM_007956
chr10	4667327	4667413	3	65	45	76	52	93	70	111	74	89	61	Intron (NR_126357/Esr1, intron 1 of 7)	-42745	Esr1	NM_001302533
chr10	4672021	4672122	3	63	37	65	46	71	54	69	50	77	56	Intron (NR_126357/Esr1, intron 2 of 7)	-38036	Esr1	NM_001302533
chr10	4672289	4672368	4	34	28	24	20	29	25	31	24	47	37	Intron (NR_126357/Esr1, intron 2 of 7)	-37790	Esr1	NM_001302533
chr10	4675141	4675444	11	81	60	97	75	136	100	141	96	133	92	Intron (NR_126357/Esr1, intron 2 of 7)	-34714	Esr1	NM_001302533
chr10	4709921	4710302	15	194	139	193	143	220	170	261	182	225	164	Promoter (<=1kb)	0	Esr1	NM_001302533
chr10	4711340	4711464	3	29	28	46	42	43	37	51	44	57	53	Promoter (1-2kb)	1183	Esr1	NM_001302531
chr10	4711575	4711730	4	68	60	68	60	84	83	81	78	88	81	Promoter (1-2kb)	1418	Esr1	NM_001302531
chr10	4712157	4712446	17	45	40	69	64	97	90	114	101	71	61	Promoter (1-2kb)	2000	Esr1	NM_001302531
chr10	4712465	4712767	30	78	71	92	83	131	124	81	75	124	115	Promoter (2-3kb)	2308	Esr1	NM_001302531
chr10	4713298	4713543	8	64	59	79	56	90	75	65	59	87	75	Intron (NR_126357/Esr1, intron 3 of 7)	3141	Esr1	NM_001302531
chr10	4725199	4725254	3	41	27	55	29	38	21	53	37	59	36	Intron (NR_126357/Esr1, intron 3 of 7)	15042	Esr1	NM_001302531
chr10	4778093	4778260	3	26	21	25	22	27	26	30	26	38	29	Intron (NR_126357/Esr1, intron 4 of 7)	67936	Esr1	NM_001302531
chr10	4780990	4781230	6	134	88	140	85	184	113	166	104	166	107	Intron (NR_126357/Esr1, intron 4 of 7)	70833	Esr1	NM_001302531
chr10	4910583	4910733	4	102	83	96	72	96	81	97	77	100	77	Intron (NM_001302532/Esr1, intron 6 of 9)	158330	Syne1	NM_022027
chr10	4996424	4996482	3	NA	NA	NA	NA	NA	NA	29	26	NA	NA	Intron (NM_001302532/Esr1, intron 8 of 9)	72581	Syne1	NM_022027
chr10	5079978	5080118	7	70	69	55	55	103	103	82	76	78	76	Intron (NM_001079686/Syne1, intron 37 of 54)	-10916	Syne1	NM_022027
chr10	5161348	5161642	12	142	125	176	157	284	255	265	227	265	228	Exon (NM_001079686/Syne1, exon 9 of 55)	33065	Syne1	NM_001079686
chr10	5185755	5186029	7	120	111	130	113	140	128	155	144	167	147	Exon (NM_001079686/Syne1, exon 3 of 55)	8678	Syne1	NM_001079686
chr10	5192977	5193159	5	45	28	48	37	49	32	34	12	48	29	Promoter (1-2kb)	1548	Syne1	NM_001079686
chr10	5193330	5193430	3	78	31	80	37	104	48	81	29	89	40	Promoter (1-2kb)	1277	Syne1	NM_001079686
chr10	5194333	5194628	12	142	11	143	2	161	5	124	3	176	5	Promoter (<=1kb)	79	Syne1	NM_001079686
chr10	5194659	5194962	13	121	0	191	3	207	6	154	2	153	7	Promoter (<=1kb)	0	Syne1	NM_001079686
chr10	5195333	5195495	4	64	16	74	20	71	21	57	14	94	26	Promoter (<=1kb)	-627	Syne1	NM_001079686
chr10	5205358	5205480	4	30	29	25	21	24	18	35	32	22	21	Distal Intergenic	-10652	Syne1	NM_001079686
chr10	5205737	5205834	5	73	66	100	89	125	117	88	79	110	97	Distal Intergenic	-11031	Syne1	NM_001079686
