Ingenuity Canonical Pathways, -log(p-value),Ratio,z-score,Molecules,,,,,, -log(p-value),Ratio,z-score,Molecules,,gene,AOM+DSS vs control,AOM+DSS+Curcumin vs AOM+DSS,p1,p2
Relaxin Signaling,1,0.0338,0,"FGFR3,FOS,PRKAR2B,PDE9A,NOS2",,,,,Relaxin Signaling,1.27,0.0541,1.633,"VEGFA,FGFR3,PDE9A,PIK3CG,PIK3R5,IRS2,GNA14,NOS2",,CPS1,-1.279,-2.999,Acute Phase Response Signaling,Acute Phase Response Signaling
Colorectal Cancer Metastasis Signaling,0.962,0.0288,0.378,"FGFR3,FOS,PRKAR2B,NOS2,BIRC5,CCND1,FZD7",,,,,Colorectal Cancer Metastasis Signaling,2.9,0.0658,2.5,"RHOC,MMP15,PIK3R5,MMP13,MMP10,BIRC5,TLR2,FGFR3,VEGFA,RND3,PIK3CG,SMO,IRS2,RHOF,NOS2,TNF",,MEP1A,-1.263,1.235,IL-8 Signaling,IL-8 Signaling
Neuropathic Pain Signaling In Dorsal Horn Neurons,0.94,0.0357,0,"FGFR3,FOS,PRKAR2B,TAC1",,,,,Neuropathic Pain Signaling In Dorsal Horn Neurons,1.9,0.0714,0,"FGFR3,KCNN4,CAMK1D,PIK3CG,PIK3R5,TAC1,IRS2,PLCH2",,CHGB,-1.256,1.462,Acute Phase Response Signaling,Acute Phase Response Signaling
HGF Signaling,0.94,0.0357,1,"FGFR3,FOS,ITGA2,CCND1",,,,,HGF Signaling,0.426,0.0357,1,"FGFR3,PIK3CG,PIK3R5,IRS2",,DPYD,-1.239,1.204,Acute Phase Response Signaling,Acute Phase Response Signaling
Renin-Angiotensin Signaling,0.88,0.0339,-1,"FGFR3,FOS,PRKAR2B,ACE",,,,,Renin-Angiotensin Signaling,1.34,0.0593,1.134,"FGFR3,PIK3CG,PIK3R5,IRS2,TNF,NOX1,AGT",,ZAN,-1.21,-1.625,Signaling by Rho Family GTPases,Signaling by Rho Family GTPases
PPAR?/RXR? Activation,0.828,0.0296,-2.236,"PRKAR2B,Cyp2c40,CYP2C18,ABCA1,PPARGC1A",,,,,PPAR?/RXR? Activation,0.724,0.0414,0.447,"IL1RL1,FASN,ACOX1,CYP2C18,CYP2C9,GNA14,PLCH2",,BMP3,-1.201,2.226,Acute Phase Response Signaling,Acute Phase Response Signaling
ILK Signaling,0.703,0.0267,1,"FGFR3,FOS,NOS2,CCND1,ACTA1",,,,,ILK Signaling,3.14,0.0749,2.887,"FN1,RHOC,PIK3R5,VIM,FGFR3,VEGFA,ITGB2,RND3,PIK3CG,IRS2,RHOF,NOS2,TNF,ACTA1",,B4GALNT3,-1.198,-1.046,Acute Phase Response Signaling,Acute Phase Response Signaling
ERK/MAPK Signaling,0.679,0.0262,0.447,"FGFR3,FOS,PRKAR2B,PLA2G5,ITGA2",,,,,ERK/MAPK Signaling,0.794,0.0419,0,"FGFR3,RAC2,DUSP1,PIK3CG,DUSP6,PLA2G5,PIK3R5,IRS2",,Cyp2d9,-1.145,1.898,Acute Phase Response Signaling,Acute Phase Response Signaling
Leukocyte Extravasation Signaling,0.604,0.0245,1,"FGFR3,TIMP3,CLDN4,ITGA2,ACTA1",,,,,Leukocyte Extravasation Signaling,5.38,0.0931,3.051,"RAC2,CXCR4,MMP15,PIK3R5,MMP10,MMP13,NOX1,FGFR3,ITGB2,NCF1,CLDN23,CLDN8,CLDN4,PIK3CG,CYBB,IRS2,CLDN2,ACTA1,MSN",,CHGA,-1.132,1.489,Acute Phase Response Signaling,Acute Phase Response Signaling
Tec Kinase Signaling,0.542,0.0244,1,"FGFR3,FOS,ITGA2,ACTA1",,,,,Tec Kinase Signaling,2.68,0.0732,2.53,"FGFR3,RND3,RHOC,PIK3CG,FCER1G,PIK3R5,HCK,IRS2,GNA14,RHOF,TNF,ACTA1",,NXPE2,-1.059,-2.734,IL-8 Signaling,IL-8 Signaling
Phospholipase C Signaling,0.51,0.0224,0,"TGM2,HMOX1,HDAC11,PLA2G5,ITGA2",,,,,Phospholipase C Signaling,0.557,0.0359,0.816,"TGM2,HMOX1,RND3,FCGR2A,RHOC,PLA2G5,FCER1G,RHOF",,CYP2C18,-1.027,3.095,Acute Phase Response Signaling,Acute Phase Response Signaling
IL-8 Signaling,0.415,0.0211,1,"FGFR3,HMOX1,FOS,CCND1",,,,,IL-8 Signaling,3.07,0.0737,2.673,"RAC2,RHOC,PIK3R5,NOX1,FGFR3,VEGFA,ITGB2,HMOX1,RND3,PIK3CG,CYBB,ITGAV,IRS2,RHOF",,FAM162A,1.002,1.115,Endothelin-1 Signaling,Endothelin-1 Signaling
Signaling by Rho Family GTPases,0.25,0.0167,1,"FGFR3,FOS,ITGA2,ACTA1",,,,,Signaling by Rho Family GTPases,2.96,0.0667,2.324,"RHOC,PIK3R5,VIM,GNA14,NOX1,FGFR3,STMN1,RND3,PIK3CG,CYBB,IRS2,CDC42EP1,RHOF,PIP4K2A,ACTA1,MSN",,SGK2,1.045,1.257,IL-8 Signaling,IL-8 Signaling
,,,,,,,,,,,,,,,PGLYRP1,1.062,1.416,IL-8 Signaling,IL-8 Signaling
,,,,,,,,,,,,,,,FAM3B,1.078,1.107,Endothelin-1 Signaling,Endothelin-1 Signaling
,,,,,,,,,,,,,,,IDI1,1.121,-1.256,ERK/MAPK Signaling,ERK/MAPK Signaling
,,,,,,,,,,,,,,,MCM6,1.129,-1.227,IL-8 Signaling,IL-8 Signaling
,,,,,,,,,,,,,,,PLA2G5,1.152,-1.179,IL-8 Signaling,IL-8 Signaling
,,,,,,,,,,,,,,,MCM2,1.17,-1.053,IL-8 Signaling,IL-8 Signaling
,,,,,,,,,,,,,,,MCM4,1.207,-1.065,IL-8 Signaling,IL-8 Signaling
,,,,,,,,,,,,,,,DGAT2,1.276,1.16,Acute Phase Response Signaling,Acute Phase Response Signaling
,,,,,,,,,,,,,,,TNIP3,1.3,1.143,Signaling by Rho Family GTPases,Signaling by Rho Family GTPases
,,,,,,,,,,,,,,,APLP1,1.313,1.21,Acute Phase Response Signaling,Acute Phase Response Signaling
,,,,,,,,,,,,,,,CHAF1A,1.32,-1.067,Acute Phase Response Signaling,Acute Phase Response Signaling
,,,,,,,,,,,,,,,ACAT2,1.36,-1.34,#N/A,#N/A
,,,,,,,,,,,,,,,WDHD1,1.365,-1.195,Signaling by Rho Family GTPases,Signaling by Rho Family GTPases
,,,,,,,,,,,,,,,E2F8,1.372,-1.381,Acute Phase Response Signaling,Acute Phase Response Signaling
,,,,,,,,,,,,,,,ISG15,1.561,1.376,IL-8 Signaling,IL-8 Signaling
,,,,,,,,,,,,,,,HELLS,1.562,-1.309,Endothelin-1 Signaling,Endothelin-1 Signaling
,,,,,,,,,,,,,,,MARCKSL1,1.597,1.544,IL-8 Signaling,IL-8 Signaling
,,,,,,,,,,,,,,,TMIGD1,1.619,2.268,Signaling by Rho Family GTPases,Signaling by Rho Family GTPases
,,,,,,,,,,,,,,,TRIM40,1.647,1.285,Signaling by Rho Family GTPases,Signaling by Rho Family GTPases
,,,,,,,,,,,,,,,Ifi47,1.686,1.241,ERK/MAPK Signaling,ERK/MAPK Signaling
,,,,,,,,,,,,,,,IL4R,1.729,1.003,ERK/MAPK Signaling,ERK/MAPK Signaling
,,,,,,,,,,,,,,,MGLL,1.741,1.606,IL-8 Signaling,IL-8 Signaling
,,,,,,,,,,,,,,,1810065E05Rik,1.782,1.992,#N/A,#N/A
,,,,,,,,,,,,,,,ISX,1.798,1.365,IL-8 Signaling,IL-8 Signaling
,,,,,,,,,,,,,,,CLDN4,1.828,1.17,Acute Phase Response Signaling,Acute Phase Response Signaling
,,,,,,,,,,,,,,,2010109I03Rik,1.935,1.172,#N/A,#N/A
,,,,,,,,,,,,,,,IFIT1B,1.973,1.58,ERK/MAPK Signaling,ERK/MAPK Signaling
,,,,,,,,,,,,,,,TGFBI,1.991,2.083,Signaling by Rho Family GTPases,Signaling by Rho Family GTPases
,,,,,,,,,,,,,,,DUOX2,2.008,1.456,Acute Phase Response Signaling,Acute Phase Response Signaling
,,,,,,,,,,,,,,,ALPP,2.093,1.628,Acute Phase Response Signaling,Acute Phase Response Signaling
,,,,,,,,,,,,,,,CD177,2.118,-2.122,Acute Phase Response Signaling,Acute Phase Response Signaling
,,,,,,,,,,,,,,,ACACB,2.147,1.071,#N/A,#N/A
,,,,,,,,,,,,,,,TAC1,2.232,1.132,Signaling by Rho Family GTPases,Signaling by Rho Family GTPases
,,,,,,,,,,,,,,,PCSK9,2.259,-2.486,IL-8 Signaling,IL-8 Signaling
,,,,,,,,,,,,,,,ACTA1,2.362,1.363,#N/A,#N/A
,,,,,,,,,,,,,,,Bmp8b,2.468,1.524,Acute Phase Response Signaling,Acute Phase Response Signaling
,,,,,,,,,,,,,,,SEMA7A,2.479,1.398,IL-8 Signaling,IL-8 Signaling
,,,,,,,,,,,,,,,AGPAT9,2.488,1.619,Acute Phase Response Signaling,Acute Phase Response Signaling
,,,,,,,,,,,,,,,DUOXA2,2.652,1.767,Acute Phase Response Signaling,Acute Phase Response Signaling
,,,,,,,,,,,,,,,CAPG,2.887,1.187,Acute Phase Response Signaling,Acute Phase Response Signaling
,,,,,,,,,,,,,,,HMOX1,2.911,1.977,ERK/MAPK Signaling,ERK/MAPK Signaling
,,,,,,,,,,,,,,,DHRS9,2.953,1.165,Acute Phase Response Signaling,Acute Phase Response Signaling
,,,,,,,,,,,,,,,Srgn,3.502,1.36,Signaling by Rho Family GTPases,Signaling by Rho Family GTPases
,,,,,,,,,,,,,,,Saa3,3.504,2.364,IL-8 Signaling,IL-8 Signaling
,,,,,,,,,,,,,,,PLAUR,3.746,1.42,IL-8 Signaling,IL-8 Signaling
,,,,,,,,,,,,,,,SLPI,3.846,1.572,Signaling by Rho Family GTPases,Signaling by Rho Family GTPases
,,,,,,,,,,,,,,,ALDH1A3,3.872,1.337,Acute Phase Response Signaling,Acute Phase Response Signaling
,,,,,,,,,,,,,,,RETNLB,3.885,1.594,IL-8 Signaling,IL-8 Signaling
,,,,,,,,,,,,,,,TGM2,4.146,1.298,Signaling by Rho Family GTPases,Signaling by Rho Family GTPases
,,,,,,,,,,,,,,,SPRR1A,4.183,1.907,Signaling by Rho Family GTPases,Signaling by Rho Family GTPases
,,,,,,,,,,,,,,,NOS2,5.258,1.383,IL-8 Signaling,IL-8 Signaling
,,,,,,,,,,,,,,,PLET1,5.862,1.268,IL-8 Signaling,IL-8 Signaling
,,,,,,,,,,,,,,,CLCA4,7.143,1.63,Acute Phase Response Signaling,Acute Phase Response Signaling
