Control_18.muco	AOMDSS_18.muao	AOMDSSCur_18.mucu	gene
0.2152239	0.4774181	0.2952882	Trio
0.4964046	0.3788542	0.4966333	Sptbn4
0.2790888	0.0968279	0.283601	Ppard
0.7608625	0.5828205	0.7589958	1810013A23Rik
0.1606628	0.3827646	0.2139561	Fkbp5
0.0081859	0.1457305	0.0278555	Lrrc4
0.8012845	0.637783	0.8072339	9530036O11Rik
0.9398822	0.6971425	0.9150916	Mb21d2
0.5978353	0.462083	0.6496731	Lep
0.3426392	0.4996674	0.3523501	Trp53cor1
0.4591833	0.3024308	0.531322	Jak2
0.5042429	0.3720578	0.4878631	Ppil1
0.0375615	0.1674883	0.0439142	Smo
0.4188423	0.1943145	0.4962953	Mdga1
0.8752633	0.649039	0.7757271	Ctnnd2
0.5925579	0.7665942	0.6271781	Btbd9
0.6889036	0.5059781	0.6741406	Chdh
0.5980463	0.3966045	0.5933727	Fnbp1
0.2857448	0.0791244	0.2082525	Lincpint
0.3501926	0.1290649	0.315034	Lincpint
0.543807	0.3942512	0.6098525	Hcst
0.6951191	0.5366862	0.6692243	2210408F21Rik
0.3283953	0.1809499	0.2924387	Gckr
0.7019229	0.8225427	0.6596591	Fxyd1
0.8761603	0.6387777	0.8560556	Sgms1
0.8522679	0.6842075	0.7992458	Tm4sf19
0.5107069	0.3544112	0.5107452	St6galnac6
0.7133382	0.5250646	0.6754591	Stk10
0.0333091	0.2183038	0.0724061	Slc51a
0.5927205	0.4376808	0.5537752	Minpp1
0.304419	0.425705	0.3147431	Cyp4f39
0.8170883	0.637084	0.8030526	Bach2os
0.0750909	0.1996593	0.097159	Papss2
0.8900722	0.7704919	0.9007776	Lrch3
0.1510616	0.3927663	0.2600679	Fam26e
0.0302234	0.1394058	0.0232927	Bphl
0.827925	0.6549399	0.8414255	Kalrn
0.8265283	0.7068939	0.8229986	Psmb8
0.8523916	0.7144188	0.8338608	Pxdc1
0.427558	0.2388972	0.38576	Traf1
0.9795048	0.8198781	0.9371074	Gtf2e2
0.360956	0.1575871	0.3406865	C2
0.0916791	0.2372609	0.1094239	Syt15
0.4309221	0.1966586	0.3425865	D17H6S56E-5
0.4907546	0.7050599	0.4921341	Sapcd1
0.9058662	0.7331728	0.8910535	Bmpr1a
0.7989771	0.640471	0.7849147	Lst1
0.7693783	0.5263509	0.775637	9230112D13Rik
0.5270061	0.3651635	0.4832247	Tnf
0.5677131	0.1099639	0.3710461	Tnf
0.5564507	0.2146276	0.4296267	Tnf
0.6013884	0.770851	0.5929238	Opn4
0.8785488	0.7616163	0.874816	Rars
0.9827737	0.8540812	0.9556883	Mir1949
0.5135236	0.3051155	0.4811995	Cdyl
0.4010033	0.201541	0.3792975	Dusp4
0.519783	0.2193947	0.5465492	1700066B19Rik
0.5549813	0.7035349	0.5191738	Lingo2
0.8589431	0.6319278	0.9222883	Ablim2
0.85227	0.7223313	0.8814446	Cd86
0.6280983	0.4524502	0.5825482	Tenm2
0.7816575	0.4912086	0.6957228	Lrrc72
0.3959197	0.2438456	0.4214946	Evc
0.6216787	0.4327347	0.6832386	Gm20755
0.8556234	0.7278828	0.8753245	Mitd1
0.2154456	0.3464775	0.2268087	Pcdhgc5
0.3394089	0.1500491	0.3377753	Arap3
0.719926	0.5496801	0.6794171	Zc3hav1
0.5999332	0.3522007	0.502441	Zc3hav1
0.5036789	0.7979571	0.5382448	Lonrf2
0.8236849	0.9660586	0.803532	Lonrf2
0.2432557	0.4783218	0.3361585	Arhgap26
0.9758725	0.7725166	0.9511435	Arhgap26
0.0681509	0.191644	0.0797076	Traf3ip2
0.3077262	0.4448408	0.2372157	Ndufb2
0.741461	0.6035333	0.7279037	Dcstamp
0.1468743	0.2938046	0.1667206	Nr3c1
0.349697	0.584352	0.3837541	1700066B17Rik
0.1349984	0.2668259	0.1521293	Map4k4
0.8818924	0.7684278	0.9088612	1700110K17Rik
0.7348769	0.5617599	0.7329127	Pdlim1
0.8799815	0.6645252	0.8101023	Sorbs1
0.7561368	0.5581502	0.7200243	Mir5123
0.7966384	0.662005	0.7982048	Crtam
0.3377473	0.2040198	0.3271812	Aqp3
0.3082342	0.1816669	0.3219974	Ccdc162
0.8558703	0.7372303	0.8741013	Ccdc162
0.8278329	0.7026702	0.9087594	Mir8115
0.7234144	0.8868737	0.7180995	Cntfr
0.8933791	0.7477655	0.8828881	Foxo3
0.7816398	0.6267227	0.7683038	Crtac1
0.8416631	0.6425641	0.7808622	Loxl4
0.5831197	0.3313103	0.5674439	Grik4
0.842824	0.6785586	0.8592692	Gpr151
0.7669659	0.6274358	0.8071442	Tpm2
0.1118873	0.2353294	0.1126068	Usp2
0.3402214	0.4980376	0.3573179	Usp2
0.7858014	0.6190508	0.7763206	Sidt1
0.5503749	0.3617677	0.517663	Sidt1
0.298603	0.4915546	0.3207088	Fbxo10
0.6886244	0.5480803	0.6754366	Ldb2
0.8460915	0.7189026	0.831136	Cep164
0.0789085	0.1850175	0.0772498	Sox30
0.5652712	0.3833318	0.5204715	Sik3
0.8126609	0.6843159	0.8187536	Atxn1
0.5059604	0.3552831	0.5201763	Fam149a
0.8899417	0.7749133	0.8768296	Trim8
0.7891186	0.6434889	0.7671922	Tbc1d2
0.1726588	0.0702487	0.1756464	Tbc1d2
0.6170538	0.476998	0.6273472	Gabbr2
0.7565444	0.6023196	0.7460635	Gabbr2
0.7642322	0.6426541	0.7685853	Rpl7l1
0.2228987	0.1170316	0.2618268	Nhlrc1
0.7697541	0.6229514	0.7597501	Neurl1a
0.1363856	0.2801814	0.1435251	Ccnd3
0.3413554	0.1499426	0.3374747	Gch1
0.7614736	0.644853	0.7640812	Frs3os
0.4956243	0.2983879	0.4191389	Irf2
0.144391	0.257014	0.1258303	Foxp4
0.3440091	0.22085	0.3442807	Atg14
0.229964	0.4056279	0.1374638	Apobec2
0.4370674	0.2731072	0.4065068	Zbtb16
0.8902627	0.7853523	0.9218027	Wwc2
0.2744203	0.4227419	0.280594	Wwc2
0.7883029	0.6630376	0.8068863	Dctd
0.858283	0.6218865	0.7919482	Grik2
0.5832026	0.447465	0.5810486	Adamts2
0.8716675	0.5698537	0.8096584	Ccnb1ip1
0.1906243	0.3235215	0.2166841	Cblb
0.0831658	0.2741874	0.1348496	Stat1
0.3466624	0.4711617	0.2911132	9530068E07Rik
0.8439937	0.7030139	0.8362372	5730457N03Rik
0.7557805	0.4743137	0.6930092	Prr12
0.5997509	0.4313339	0.5442516	Cd37
0.1765115	0.3842092	0.1824975	1700094M24Rik
0.0991098	0.2408531	0.1031014	Arhgef40
0.3599725	0.5535363	0.3715226	Jazf1
0.9285253	0.7610499	0.9087556	Gm11186
0.3462412	0.1766941	0.4118763	Strn3
0.4058028	0.5281088	0.3965517	Strn3
0.1211481	0.3541205	0.1849554	Dbp
0.8225949	0.6916232	0.8586457	Gm11186
0.9556932	0.7900598	0.9163279	Sept8
0.4999504	0.298028	0.45878	Kcnj11
0.768842	0.6100592	0.7325346	Mxi1
0.5101946	0.7802221	0.54565	Ush1c
0.0680373	0.3800518	0.099522	Myod1
0.4851178	0.3050776	0.5783907	Gm12216
0.3152012	0.6193177	0.4214857	Rbm20
0.3109096	0.1598829	0.2638745	Rbm20
0.776388	0.6429643	0.7873168	Cpvl
0.5224233	0.6690733	0.5030916	Acsl6
0.9024648	0.7652435	0.8755267	C86187
0.3413922	0.1988928	0.3384624	Plekha8
0.4321116	0.2853617	0.5293039	Faf2
0.2068748	0.3447184	0.217518	Znrf2
0.3333323	0.2109296	0.4499026	Fbxo22
0.2197096	0.1129434	0.237727	Hk3
0.7875345	0.6806719	0.793343	Gucy2g
0.9106047	0.7913511	0.9203104	Pabpn1
0.7532416	0.6284746	0.7395378	4933417G07Rik
0.293978	0.111404	0.2910821	Tcf7l2
0.8971822	0.7746933	0.9319861	H2afy
0.5770086	0.4451846	0.5854673	Lingo1
0.5833665	0.4244653	0.5861716	Slc25a48
0.3413366	0.2120387	0.3709353	Lmnb1
0.8327181	0.7157247	0.8587574	Lmnb1
0.1739958	0.4511358	0.2254104	Dus3l
0.6934261	0.8311296	0.7237065	Tmem245
0.5441354	0.4271406	0.5658076	Mllt1
0.9232414	0.7614709	0.877278	Epb4.1l4b
0.2028796	0.3481603	0.1883466	C330018D20Rik
0.9296739	0.7445583	0.8966	Gm12530
0.3760886	0.225911	0.3835449	B230217O12Rik
0.2298068	0.4228539	0.2168613	Scamp2
0.5680135	0.3462215	0.5043622	Galnt10
0.6799774	0.8131075	0.6824949	Prrc1
0.5607795	0.2124999	0.5142969	Irgm2
0.323958	0.6113406	0.3777595	Slc25a21
0.3668043	0.64986	0.9066041	Gkap1
0.8384175	0.6815215	0.8233519	Obscn
0.372634	0.5102741	0.3684003	AI314180
0.2822146	0.4506521	0.2660112	Wnt3a
0.0387871	0.1402173	0.0293032	Gm12596
0.266053	0.5934066	0.3703345	Gm16062
0.6558659	0.5111038	0.6417715	Wdsub1
0.6676057	0.8782398	0.7596604	Mir6921
0.2004429	0.54038	0.3418681	Srebf1
0.0395686	0.161943	0.0590476	Shisa2
0.7687874	0.6257446	0.8130886	Unc5b
0.6751642	0.5065067	0.7065789	Galnt7
0.6364549	0.3626941	0.5904465	Gm20611
0.851803	0.6530397	0.8184656	Ndst1
0.5679708	0.3322828	0.508823	1500015A07Rik
0.1885787	0.327531	0.191367	Srgn
0.4763835	0.3068915	0.4755259	4930487H11Rik
0.7489012	0.6307811	0.7502587	2300009A05Rik
0.9580006	0.8011293	0.9562301	Neil2
0.4971366	0.6653194	0.5063974	Fam49b
0.1151658	0.2520511	0.107326	Nars
0.6215786	0.4783764	0.6055773	Rfc1
0.6711525	0.435305	0.7333398	Snx22
0.2911192	0.1727819	0.2848154	Kcnq3
0.1185128	0.3525514	0.1204729	9130230L23Rik
0.6775747	0.4724409	0.6595226	Jmjd1c
0.8562304	0.6490426	0.8216405	Myh1
0.6085758	0.4664747	0.6060098	Pik3r5
0.8046473	0.6659568	0.7885973	Schip1
0.3851017	0.6394296	0.3477846	2310047M10Rik
0.3011104	0.1995611	0.3143506	Dhrs9
0.4537922	0.5920519	0.4257493	4933402P03Rik
0.9515181	0.8264988	0.9857056	Gps2
0.7158732	0.8438784	0.7130315	Pld2
0.7092111	0.5327236	0.7526977	Scimp
0.8738616	0.7431855	0.8780668	Zfp92
0.5651497	0.4171769	0.5705063	Lipc
0.8951926	0.6343564	0.7907693	Dlgap1
0.3072153	0.503172	0.2675611	Dmtn
0.0372328	0.1571442	0.0390663	Myzap
0.8401692	0.6503995	0.9154705	Atic
0.6668183	0.5496252	0.6951331	Zak
0.9052204	0.7129609	0.936662	Spns2
0.8661739	0.7424409	0.8636816	March4
0.1949376	0.0837309	0.1877526	Capg
0.8950057	0.5148856	0.7587063	Kcmf1
0.3909888	0.2409831	0.3766578	2810428I15Rik
0.8796064	0.7644401	0.8850374	Pcsk6
0.0700671	0.2343677	0.1322431	Mast3
0.7878914	0.5781657	0.7129991	Wipf1
0.4701969	0.322502	0.4428511	Slc5a5
0.2421202	0.416659	0.1943043	Itm2b
0.9029156	0.7165869	0.8790196	Dcun1d4
0.4029154	0.6038027	0.4873398	Olfr412
0.9100852	0.7154521	0.8237853	Mir1928
0.4941721	0.3331112	0.5754459	Mroh4
0.8955057	0.7835777	0.9077555	Specc1l
0.6435035	0.4926064	0.6926656	Ly6e
0.8631676	0.7432057	0.8639386	Klf2
0.2121475	0.1065536	0.2344313	Mir375
0.7653781	0.6542583	0.7975372	Mir375
0.2180034	0.0520327	0.1709382	Tmod3
0.8640593	0.7285125	0.8739513	Speg
0.677491	0.5446147	0.7300852	Ly6h
0.5550151	0.4100043	0.5576596	Gmppa
0.6519663	0.8266563	0.6071552	Gm10532
0.8646033	0.7043471	0.8619392	Doc2b
0.290038	0.087859	0.2388556	Ell2
0.8675635	0.7512924	0.8755203	Nrip1
0.6426899	0.8850637	0.5339521	Mir6358
0.5361853	0.3966591	0.5382448	Col18a1
0.0855776	0.1907189	0.0670613	Zfp251
0.4465224	0.573846	0.4427837	Tsc22d1
0.0755988	0.1940931	0.0937367	Adarb1
0.5738705	0.7877868	0.6648534	Katnal2
0.72862	0.6033898	0.7681685	Zbtb25
0.3821396	0.2467659	0.3646494	Ppp1r36
0.5798083	0.7162498	0.5920287	Hmgxb4
0.9479768	0.7731149	0.9193912	Icosl
0.7150548	0.8504504	0.9669635	Apol8
0.4276713	0.2838212	0.4837368	Apol8
0.5886144	0.4664819	0.6016541	Myo18a
0.1357563	0.0349652	0.1597778	Unc119
0.4420302	0.2817823	0.4290303	E330011O21Rik
0.2034448	0.3888197	0.2163569	Tmem97
0.0747402	0.2272695	0.0644627	Nos2
0.7992023	0.5352121	0.8484064	Lgals9
0.7731501	0.5609835	0.7160663	Triobp
0.4516153	0.1513811	0.3492407	4921511C10Rik
0.738607	0.6241196	0.8069053	Pick1
0.781949	0.6092078	0.8300265	4921511C10Rik
0.9219157	0.8191454	0.9412876	Cfd
0.6801231	0.5382881	0.6823167	Rab11fip4os1
0.7567212	0.6330629	0.7518186	Rab11fip4os1
0.2917984	0.1861034	0.287656	Josd1
0.4805226	0.2792668	0.4918037	Cbx6
0.4382634	0.2863687	0.4817559	2310011J03Rik
0.6691451	0.5098551	0.6827035	Mir7213
0.8488561	0.6849644	0.7997755	0610038B21Rik
0.2182724	0.423508	0.2284593	Btbd2
0.1273667	0.2549227	0.09408	Pcdh8
0.6356111	0.4694583	0.6231543	Grap2
0.1475499	0.3977941	0.2274859	Gadd45b
0.5758394	0.8221077	0.6717428	Gadd45b
0.8568036	0.7426052	0.8791311	A730056A06Rik
0.7950421	0.677187	0.8036774	Gm2176
0.6876485	0.4782822	0.6227111	Mkl1
0.8771982	0.75144	0.9200177	Mkl1
0.4718031	0.2878326	0.5205635	Actn1
0.9165912	0.6059412	0.9303118	1700011L22Rik
0.1527042	0.3231328	0.1953933	Srebf2
0.8967932	0.7896393	0.90037	Srebf2
0.8232434	0.6852804	0.8322844	Fam109b
0.0434027	0.1619935	0.0041896	Col4a3
0.4311926	0.8067181	0.4809101	Mbp
0.2102731	0.4062196	0.3005351	Mbp
0.7941065	0.9362536	0.8315086	Mbp
0.5707857	0.3491533	0.5337151	Akap13
0.8996829	0.7425895	0.9229328	Ccdc171
0.8745259	0.6860157	0.8199559	Sipa1l1
0.8187767	0.6372633	0.8255502	Dguok
0.4921942	0.6799467	0.5201603	D930015E06Rik
0.2241366	0.1145737	0.3007335	Parvb
0.0914967	0.2211804	0.0514912	Parvg
0.7098237	0.5833266	0.7104912	1810041L15Rik
0.5704913	0.4536128	0.5964452	Zfp407
0.7861096	0.6611495	0.7849764	Cntln
0.1112813	0.3648322	0.2432847	Fbxw7
0.2849134	0.4371622	0.2847697	Fbxw7
0.8104984	0.7003485	0.8277962	Dync2li1
0.6645362	0.3600585	0.6616744	Dync2li1
0.8579053	0.6461447	0.8115413	Lrpprc
0.3590648	0.2064004	0.3282306	Ntrk3
0.1635505	0.0596549	0.1822508	Sh3d19
0.8245051	0.9266118	0.8259603	Epas1
0.5284185	0.7309533	0.5069564	Nfix
0.754554	0.9059515	0.7607542	Rhoq
0.9310173	0.7867972	0.8945617	Olfr1128
0.7145247	0.5119451	0.7879236	Arhgef11
0.1265436	0.2502845	0.1308839	1110028F11Rik
0.8024563	0.6684573	0.8413999	Lrrc71
0.8717405	0.7112238	0.865107	Bzrap1
0.0910774	0.3038899	0.1143035	Lpo
0.3270972	0.1806558	0.2910549	Esrrb
0.018043	0.1516649	0.0033289	1700011E24Rik
0.8310416	0.6090793	0.736728	Esrrb
0.7725208	0.9616593	0.8070446	Ruvbl1
0.4886632	0.3691956	0.494576	Kbtbd12
0.0606768	0.1729159	0.0673333	Scpep1os
0.8041876	0.6250965	0.8469285	Fam189b
0.2549504	0.3695732	0.2488115	Rufy3
0.7715852	0.4986558	0.6687307	Slc50a1
0.2684032	0.3951423	0.2858897	Efna1
0.5641281	0.3400658	0.4734923	Klhdc7b
0.4667566	0.6259234	0.4778279	Pctp
0.2143173	0.4148244	0.2295418	Mex3b
0.1341819	0.2345877	0.0537905	Tbc1d2b
0.6347196	0.4346055	0.6339368	Hlf
0.472342	0.2998109	0.4388524	Npr1
0.8497	0.6912152	0.816329	Gm5088
0.6709311	0.505575	0.6628768	Zfp423
0.5778071	0.3862801	0.5691039	Adcy7
0.4051297	0.5693557	0.3935359	Slc39a13
0.9126033	0.7987123	0.9128854	Spi1
0.9063002	0.7850469	0.9228428	Pf4
0.5077568	0.6669857	0.5161996	Ifnar2
0.5690865	0.3677506	0.5082397	Rcan1
0.4429404	0.2823813	0.4651213	Elk3
0.3308939	0.1548284	0.2975094	Chd9
0.0508285	0.2028317	0.0958764	Nr2c1
0.8574747	0.7386837	0.8693954	Morc3
0.3637854	0.2025961	0.4004759	Cldn14
0.7480193	0.5842648	0.7127214	Tmcc3
0.4793296	0.6375752	0.470874	Jmy
0.0545319	0.1786492	0.0607325	Celf3
0.4795631	0.1810976	0.3507485	Celf3
0.6645744	0.7805981	0.6629812	Dscr3
0.9360408	0.8086704	0.9356326	Lhfpl2
0.9494606	0.7059673	0.9492093	Itga3
0.2804295	0.132357	0.3131167	Adamtsl4
0.7731062	0.6400485	0.7601712	Rab38
0.1509671	0.0447456	0.1556899	Pls1
0.1970837	0.3465959	0.2035355	Erg
0.710701	0.4509876	0.7118591	Terc
0.0270079	0.1361318	0.0175913	Slc38a2
0.1168359	0.2538422	0.149533	Spsb4
0.9850715	0.8304526	0.6541974	Amigo2
0.7198195	0.5303633	0.7375079	Ccdc102a
0.1240503	0.2586637	0.1525293	Ccdc89
0.6042216	0.4789855	0.6057057	Gm5544
0.0323906	0.1622686	0.0329166	Dlg3
0.199896	0.3725669	0.2500292	Enc1
0.9481357	0.8349854	0.957933	H1fnt
0.4109568	0.1902091	0.3918962	Inadl
0.5988321	0.3325481	0.5715759	Inadl
0.8974373	0.7248781	0.8832622	Gm765
0.5879153	0.4273904	0.5620032	1700031M16Rik
0.211242	0.089298	0.2021524	L1td1
0.2770337	0.4247391	0.2448239	Dach1
0.1557059	0.2579149	0.1574532	Rapgefl1
0.1558923	0.3143813	0.2041827	Rara
0.7098638	0.5276429	0.6486482	Dlg2
0.5905283	0.39695	0.5161289	B230216N24Rik
0.8955153	0.7820343	0.8862372	4930406D18Rik
0.8866583	0.7630584	0.879075	Ttc25
0.536393	0.3659752	0.6046643	I730030J21Rik
0.8249447	0.7148435	0.8512216	Rab5c
0.3793783	0.5466769	0.3451842	Mccc2
0.8821687	0.7696785	0.900942	Efcab11
0.4303304	0.6802628	0.5491099	Msl2
0.7701183	0.592065	0.7534616	Krt71
0.5390815	0.3674779	0.5662185	Krt4
0.6582371	0.7733866	0.6546393	Zfp740
0.8899354	0.6667062	0.8478283	Rarg
0.493905	0.123875	0.3830369	Mir8101
0.7157051	0.8503605	0.6892591	Prr13
0.572913	0.3326193	0.4661463	Grn
0.714896	0.5393522	0.6619912	Tctex1d1
0.604139	0.474523	0.5884551	Nmt1
0.128473	0.30073	0.1228493	Plcd3
0.6978907	0.5227139	0.6698245	Fmnl1
0.1745239	0.3258174	0.2105244	Trf
0.852836	0.5940534	0.8418928	Atxn3
0.6435876	0.4782794	0.6016137	Chga
0.5600933	0.3386138	0.4675875	Depdc7
0.2583303	0.5024588	0.3042726	Ppap2b
0.6032841	0.4837666	0.6152664	Aqp11
0.6690525	0.5336214	0.6554068	Gdpd4
0.1781666	0.3490647	0.2183676	Acer3
0.7308826	0.5964014	0.8054988	Adora3
0.82607	0.6930061	0.8463642	Dhcr24
0.8573995	0.6240437	0.8072487	Pecam1
0.7085468	0.8344968	0.632867	Bptf
0.8412514	0.5864196	0.7815643	Pitpnc1
0.6976742	0.4468405	0.7098234	Pitpnc1
0.7934161	0.6183148	0.7512547	Tmem115
0.8604634	0.7107014	0.8470613	Mir6932
0.6708966	0.5412782	0.6737333	Cacng5
0.651844	0.484226	0.6080932	Pawr
0.3688221	0.2134729	0.3327299	Zcchc2
0.7305132	0.5954519	0.7125469	Gm20753
0.7453123	0.5929964	0.720258	Gm5136
0.3107535	0.1652536	0.2761957	Rpl5
0.9231125	0.7769545	0.8965808	Ccdc71
0.429461	0.1773113	0.3627882	Mir425
0.1993001	0.0630908	0.2086807	Arap1
0.083603	0.2064353	0.0904121	Bcl2
0.433965	0.6289551	0.5089578	Dr1
0.8218759	0.6005023	0.7597648	Vav3
0.8881721	0.7101268	0.8418828	Cspg5
0.8300906	0.7085655	0.8126395	Mir1904
0.0423048	0.1750363	0.0396938	Phlda1
0.5127593	0.2200787	0.4707223	Marveld3
0.8501316	0.725247	0.8977046	Tpst2
0.774638	0.6105962	0.7489217	Xrcc3
0.0195078	0.2837461	0.1121387	Zfyve21
0.3870413	0.6529048	0.4669776	Vac14
0.8998298	0.7550505	0.8850876	Crybb3
0.2586603	0.4247724	0.2631872	2900026A02Rik
0.7381435	0.5499047	0.6847852	Sec13
0.9145626	0.7689145	0.8893569	Fbxl2
0.1721005	0.320965	0.1136533	Bcar1
0.1794562	0.2813864	0.1201243	Acacb
0.7244095	0.4532386	0.6617133	Btbd17
0.4656371	0.7841999	0.449534	Vgll4
0.7805248	0.9157021	0.7956136	A930009A15Rik
0.7723901	0.6234364	0.7592806	Tmem104
0.9022256	0.7286384	0.8707903	Trpv4
0.6738413	0.5101085	0.6806218	1700100I10Rik
0.5304486	0.656967	0.5305899	2310067B10Rik
0.145387	0.504688	0.2018863	Caskin2
0.4376817	0.591333	0.4548543	Meis2
0.1673252	0.3386136	0.2136194	Galk1
0.500058	0.2967561	0.4422028	Pik3r3
0.4832492	0.6904534	0.4272028	Mrpl38
0.46771	0.3330655	0.4771744	Evpl
0.0810521	0.1836589	0.0700012	Trmt13
0.9173308	0.801785	0.9391923	Ube2o
0.7615989	0.5945428	0.7677373	Frrs1
0.8506181	0.6786784	0.8372213	Scube2
0.8561569	0.5648106	0.7733148	Sept9
0.8229847	0.6651617	0.8738602	Sept9
0.48963	0.2676879	0.4146038	Nup107
0.8924656	0.6641596	0.8741442	Rap1b
0.7249358	0.5805747	0.7699915	Maf
0.8993757	0.7744401	0.8968543	Rfc5
0.6371404	0.3867369	0.6812405	Ksr2
0.6802167	0.5273829	0.6501568	Ksr2
0.4064269	0.249403	0.4594319	Cyth1
0.862698	0.6772356	0.8065066	Fbxo21
0.2521681	0.4520872	0.2465842	Fbxo21
0.6906413	0.5313685	0.6765672	Itga9
0.6981136	0.5720144	0.6942023	Cacna1c
0.6688088	0.5135134	0.7072387	Itga9
0.8182804	0.5676836	0.8204827	Abcc4
0.4626638	0.3405295	0.4751162	Med13l
0.047758	0.1866305	0.05048	Cldn10
0.6031455	0.4708033	0.635703	Lrtm2
0.8726097	0.6011963	0.7812173	Scn5a
0.7941391	0.6520429	0.8003228	Rptor
0.6213716	0.4216516	0.6328945	Helb
0.7494841	0.5446072	0.7416541	Hivep3
0.7680963	0.5566233	0.7119919	Parva
0.8599489	0.7506848	0.89474	Tead1
0.0204242	0.2421993	0.0916792	Mir763
0.9133172	0.7714548	0.9067735	Mir6935
0.6939823	0.518532	0.7587719	Fscn2
0.9304467	0.783344	0.9239203	Capn3
0.2040583	0.406574	0.2200646	Rfng
0.2181404	0.4958036	0.3325353	Fasn
0.2615525	0.4111172	0.2513759	Bid
0.3867847	0.6157698	0.4542576	Rassf3
0.6733213	0.5139415	0.6797125	Bid
0.9153915	0.690585	0.8645062	Mir7090
0.7819714	0.5507417	0.7324508	Ulk4
0.3731127	0.221862	0.3453782	Oas1d
0.8205769	0.6707633	0.8547968	Farp1
0.9545151	0.8258929	0.9418737	Stk24
0.8203387	0.6915244	0.8309633	B2m
0.9072262	0.7947537	0.9092186	Mir8104
0.8144085	0.6860532	0.7892978	Mirlet7i
0.6320847	0.4309763	0.7236259	Ccdc63
0.0559876	0.1788307	0.0756707	Gse1
